municipality_code,administrative_dependency,rural_high_school_enrollments
1100015,federal,0
1100379,federal,0
1100403,federal,0
1100346,federal,0
1100023,federal,567
1100452,federal,0
1100031,federal,0
1100601,federal,0
1100049,federal,0
1100700,federal,0
1100809,federal,0
1100908,federal,0
1100056,federal,0
1100924,federal,0
1100064,federal,575
1100072,federal,0
1100080,federal,0
1100940,federal,0
1100098,federal,0
1101005,federal,0
1100106,federal,0
1101104,federal,0
1100114,federal,0
1100122,federal,0
1100130,federal,0
1101203,federal,0
1101302,federal,0
1101401,federal,0
1100148,federal,0
1100338,federal,0
1101435,federal,0
1100502,federal,0
1100155,federal,0
1101450,federal,0
1100189,federal,0
1101468,federal,0
1100205,federal,0
1100254,federal,0
1101476,federal,0
1100262,federal,0
1100288,federal,0
1100296,federal,0
1101484,federal,0
1101492,federal,0
1100320,federal,0
1101500,federal,0
1101559,federal,0
1101609,federal,0
1101708,federal,0
1101757,federal,0
1101807,federal,0
1100304,federal,0
1200013,federal,0
1200054,federal,0
1200104,federal,0
1200138,federal,0
1200179,federal,0
1200203,federal,545
1200252,federal,0
1200302,federal,0
1200328,federal,0
1200336,federal,0
1200344,federal,0
1200351,federal,0
1200385,federal,0
1200807,federal,0
1200393,federal,0
1200401,federal,0
1200427,federal,0
1200435,federal,0
1200500,federal,0
1200450,federal,0
1200609,federal,0
1200708,federal,0
1300029,federal,0
1300060,federal,0
1300086,federal,0
1300102,federal,0
1300144,federal,0
1300201,federal,0
1300300,federal,0
1300409,federal,0
1300508,federal,0
1300607,federal,0
1300631,federal,0
1300680,federal,0
1300706,federal,0
1300805,federal,0
1300839,federal,0
1300904,federal,0
1301001,federal,0
1301100,federal,0
1301159,federal,0
1301209,federal,0
1301308,federal,0
1301407,federal,0
1301506,federal,0
1301605,federal,0
1301654,federal,0
1301704,federal,286
1301803,federal,0
1301852,federal,116
1301902,federal,405
1301951,federal,0
1302009,federal,0
1302108,federal,0
1302207,federal,0
1302306,federal,0
1302405,federal,0
1302504,federal,0
1302553,federal,0
1302603,federal,0
1302702,federal,0
1302801,federal,0
1302900,federal,0
1303007,federal,0
1303106,federal,0
1303205,federal,0
1303304,federal,0
1303403,federal,0
1303502,federal,0
1303536,federal,0
1303569,federal,0
1303601,federal,0
1303700,federal,0
1303809,federal,0
1303908,federal,0
1303957,federal,0
1304005,federal,0
1304062,federal,0
1304104,federal,0
1304203,federal,0
1304237,federal,0
1304260,federal,0
1304302,federal,0
1304401,federal,0
1400050,federal,0
1400027,federal,0
1400100,federal,226
1400159,federal,0
1400175,federal,0
1400209,federal,335
1400233,federal,0
1400282,federal,0
1400308,federal,0
1400407,federal,0
1400456,federal,0
1400472,federal,0
1400506,federal,0
1400605,federal,0
1400704,federal,0
1500107,federal,0
1500131,federal,0
1500206,federal,0
1500305,federal,0
1500347,federal,0
1500404,federal,0
1500503,federal,0
1500602,federal,0
1500701,federal,0
1500800,federal,0
1500859,federal,0
1500909,federal,0
1500958,federal,0
1501006,federal,0
1501105,federal,0
1501204,federal,0
1501253,federal,0
1501303,federal,0
1501402,federal,0
1501451,federal,0
1501501,federal,0
1501576,federal,0
1501600,federal,0
1501709,federal,0
1501725,federal,0
1501758,federal,0
1501782,federal,0
1501808,federal,0
1501907,federal,0
1502004,federal,0
1501956,federal,0
1502103,federal,0
1502152,federal,0
1502202,federal,0
1502301,federal,0
1502400,federal,0
1502509,federal,0
1502608,federal,0
1502707,federal,0
1502756,federal,0
1502764,federal,0
1502772,federal,0
1502806,federal,0
1502855,federal,0
1502905,federal,0
1502939,federal,0
1502954,federal,0
1503002,federal,0
1503044,federal,0
1503077,federal,0
1503093,federal,0
1503101,federal,0
1503200,federal,0
1503309,federal,0
1503408,federal,0
1503457,federal,0
1503507,federal,0
1503606,federal,0
1503705,federal,0
1503754,federal,0
1503804,federal,0
1503903,federal,0
1504000,federal,0
1504059,federal,0
1504109,federal,0
1504208,federal,281
1504307,federal,0
1504406,federal,0
1504422,federal,0
1504455,federal,0
1504505,federal,0
1504604,federal,0
1504703,federal,0
1504752,federal,0
1504802,federal,0
1504901,federal,0
1504950,federal,0
1504976,federal,0
1505007,federal,0
1505031,federal,0
1505064,federal,0
1505106,federal,0
1505205,federal,0
1505304,federal,0
1505403,federal,0
1505437,federal,0
1505486,federal,0
1505494,federal,0
1505502,federal,0
1505536,federal,0
1505551,federal,0
1505601,federal,0
1505635,federal,0
1505650,federal,0
1505700,federal,0
1505809,federal,0
1505908,federal,0
1506005,federal,0
1506104,federal,0
1506112,federal,0
1506138,federal,0
1506161,federal,0
1506187,federal,0
1506195,federal,0
1506203,federal,0
1506302,federal,0
1506351,federal,0
1506401,federal,0
1506500,federal,0
1506559,federal,0
1506583,federal,0
1506609,federal,0
1506708,federal,0
1506807,federal,0
1506906,federal,0
1507003,federal,0
1507102,federal,0
1507151,federal,0
1507201,federal,0
1507300,federal,0
1507409,federal,0
1507458,federal,0
1507466,federal,0
1507474,federal,0
1507508,federal,0
1507607,federal,0
1507706,federal,0
1507755,federal,0
1507805,federal,0
1507904,federal,0
1507953,federal,0
1507961,federal,0
1507979,federal,0
1508001,federal,0
1508035,federal,0
1508050,federal,0
1508084,federal,0
1508100,federal,0
1508126,federal,0
1508159,federal,0
1508209,federal,0
1508308,federal,0
1508357,federal,0
1508407,federal,0
1600105,federal,0
1600204,federal,0
1600212,federal,0
1600238,federal,0
1600253,federal,0
1600279,federal,0
1600303,federal,0
1600402,federal,0
1600501,federal,0
1600154,federal,0
1600535,federal,0
1600550,federal,0
1600600,federal,0
1600055,federal,0
1600709,federal,0
1600808,federal,0
1700251,federal,0
1700301,federal,0
1700350,federal,0
1700400,federal,0
1700707,federal,0
1701002,federal,0
1701051,federal,0
1701101,federal,0
1701309,federal,0
1701903,federal,0
1702000,federal,0
1702109,federal,0
1702158,federal,0
1702208,federal,597
1702307,federal,0
1702406,federal,0
1702554,federal,0
1702703,federal,0
1702901,federal,0
1703008,federal,0
1703057,federal,0
1703073,federal,0
1703107,federal,0
1703206,federal,0
1703305,federal,0
1703602,federal,0
1703701,federal,0
1703800,federal,0
1703826,federal,0
1703842,federal,0
1703867,federal,0
1703883,federal,0
1703891,federal,0
1703909,federal,0
1704105,federal,0
1705102,federal,0
1704600,federal,0
1705508,federal,0
1716703,federal,0
1705557,federal,0
1705607,federal,0
1706001,federal,0
1706100,federal,0
1706258,federal,0
1706506,federal,0
1707009,federal,247
1707108,federal,0
1707207,federal,0
1707306,federal,0
1707405,federal,0
1707553,federal,0
1707652,federal,0
1707702,federal,0
1708205,federal,0
1708304,federal,0
1709005,federal,0
1709302,federal,0
1709500,federal,0
1709807,federal,0
1710508,federal,0
1710706,federal,0
1710904,federal,0
1711100,federal,0
1711506,federal,0
1711803,federal,0
1711902,federal,0
1711951,federal,0
1712009,federal,0
1712157,federal,0
1712405,federal,0
1712454,federal,0
1712504,federal,0
1712702,federal,0
1712801,federal,0
1713205,federal,0
1713304,federal,0
1713601,federal,0
1713700,federal,0
1713957,federal,0
1714203,federal,0
1714302,federal,0
1714880,federal,0
1715002,federal,0
1715101,federal,0
1715150,federal,0
1715259,federal,0
1715507,federal,0
1721000,federal,0
1715705,federal,0
1713809,federal,0
1715754,federal,0
1716109,federal,0
1716208,federal,0
1716307,federal,0
1716505,federal,0
1716604,federal,0
1716653,federal,0
1717008,federal,0
1717206,federal,0
1717503,federal,0
1717800,federal,0
1717909,federal,0
1718006,federal,0
1718204,federal,0
1718303,federal,0
1718402,federal,0
1718451,federal,0
1718501,federal,0
1718550,federal,0
1718659,federal,0
1718709,federal,0
1718758,federal,0
1718808,federal,0
1718840,federal,0
1718865,federal,0
1718881,federal,0
1718899,federal,0
1718907,federal,0
1719004,federal,0
1720002,federal,0
1720101,federal,0
1720150,federal,0
1720200,federal,0
1720259,federal,0
1720309,federal,0
1720499,federal,0
1720655,federal,0
1720804,federal,0
1720853,federal,0
1708254,federal,0
1720903,federal,0
1720937,federal,0
1720978,federal,0
1721109,federal,0
1721208,federal,0
1721257,federal,0
1721307,federal,0
1722081,federal,0
1722107,federal,0
2100055,federal,0
2100105,federal,0
2100154,federal,0
2100204,federal,0
2100303,federal,0
2100402,federal,0
2100436,federal,0
2100477,federal,0
2100501,federal,0
2100550,federal,0
2100600,federal,0
2100709,federal,0
2100808,federal,0
2100832,federal,0
2100873,federal,0
2100907,federal,0
2100956,federal,0
2101004,federal,0
2101103,federal,0
2101202,federal,0
2101251,federal,0
2101301,federal,0
2101350,federal,0
2101400,federal,0
2101509,federal,0
2101608,federal,0
2101707,federal,607
2101772,federal,0
2101731,federal,0
2101806,federal,0
2101905,federal,0
2101939,federal,0
2101970,federal,0
2102002,federal,0
2102036,federal,0
2102077,federal,0
2102101,federal,0
2102150,federal,0
2102200,federal,0
2102309,federal,0
2102325,federal,0
2102358,federal,0
2102374,federal,0
2102408,federal,0
2102507,federal,0
2102556,federal,0
2102606,federal,0
2102705,federal,0
2102754,federal,0
2102804,federal,0
2102903,federal,0
2103000,federal,472
2103109,federal,0
2103125,federal,0
2103158,federal,0
2103174,federal,0
2103208,federal,0
2103257,federal,0
2103307,federal,425
2103406,federal,0
2103505,federal,0
2103554,federal,0
2103604,federal,0
2103703,federal,0
2103752,federal,0
2103802,federal,0
2103901,federal,0
2104008,federal,0
2104057,federal,0
2104073,federal,0
2104081,federal,0
2104099,federal,0
2104107,federal,0
2104206,federal,0
2104305,federal,0
2104404,federal,0
2104503,federal,0
2104552,federal,0
2104602,federal,0
2104628,federal,0
2104651,federal,0
2104677,federal,0
2104701,federal,0
2104800,federal,0
2104909,federal,0
2105005,federal,0
2105104,federal,0
2105153,federal,0
2105203,federal,0
2105302,federal,0
2105351,federal,0
2105401,federal,0
2105427,federal,0
2105450,federal,0
2105476,federal,0
2105500,federal,0
2105609,federal,0
2105658,federal,0
2105708,federal,0
2105807,federal,0
2105948,federal,0
2105906,federal,0
2105922,federal,0
2105963,federal,0
2105989,federal,0
2106003,federal,0
2106102,federal,0
2106201,federal,0
2106300,federal,0
2106326,federal,0
2106359,federal,0
2106375,federal,0
2106409,federal,0
2106508,federal,0
2106607,federal,0
2106631,federal,0
2106672,federal,0
2106706,federal,0
2106755,federal,0
2106805,federal,0
2106904,federal,0
2107001,federal,0
2107100,federal,0
2107209,federal,0
2107258,federal,0
2107308,federal,0
2107357,federal,0
2107407,federal,0
2107456,federal,0
2107506,federal,0
2107605,federal,0
2107704,federal,0
2107803,federal,0
2107902,federal,0
2108009,federal,0
2108058,federal,0
2108108,federal,0
2108207,federal,0
2108256,federal,0
2108306,federal,0
2108405,federal,0
2108454,federal,0
2108504,federal,0
2108603,federal,0
2108702,federal,0
2108801,federal,0
2108900,federal,0
2109007,federal,0
2109056,federal,0
2109106,federal,181
2109205,federal,0
2109239,federal,0
2109270,federal,0
2109304,federal,0
2109403,federal,0
2109452,federal,0
2109502,federal,0
2109551,federal,0
2109601,federal,278
2109700,federal,0
2109759,federal,0
2109809,federal,0
2109908,federal,0
2110005,federal,0
2110039,federal,0
2110104,federal,0
2110203,federal,0
2110237,federal,0
2110278,federal,0
2110302,federal,0
2110401,federal,0
2110500,federal,0
2110609,federal,0
2110658,federal,0
2110708,federal,0
2110807,federal,0
2110856,federal,0
2110906,federal,0
2111003,federal,0
2111029,federal,0
2111052,federal,0
2111078,federal,0
2111102,federal,0
2111201,federal,0
2111250,federal,0
2111300,federal,413
2111409,federal,0
2111508,federal,0
2111532,federal,0
2111573,federal,0
2111607,federal,311
2111631,federal,0
2111672,federal,0
2111706,federal,0
2111722,federal,0
2111748,federal,0
2111763,federal,0
2111789,federal,0
2111805,federal,0
2111904,federal,0
2111953,federal,0
