cod_ibge,regiao,uf,municipio,localizacao,dependencia,num_escolas
1100015,Norte ,Rondônia ,Alta Floresta D'Oeste ,Total,Total Geral,5071
1100379,Norte ,Rondônia ,Alto Alegre dos Parecis ,Total,Total Geral,2569
1100403,Norte ,Rondônia ,Alto Paraíso ,Total,Total Geral,3162
1100346,Norte ,Rondônia ,Alvorada D'Oeste ,Total,Total Geral,2822
1100023,Norte ,Rondônia ,Ariquemes ,Total,Total Geral,23098
1100452,Norte ,Rondônia ,Buritis ,Total,Total Geral,6830
1100031,Norte ,Rondônia ,Cabixi ,Total,Total Geral,1189
1100601,Norte ,Rondônia ,Cacaulândia ,Total,Total Geral,1050
1100049,Norte ,Rondônia ,Cacoal ,Total,Total Geral,21071
1100700,Norte ,Rondônia ,Campo Novo de Rondônia ,Total,Total Geral,2195
1100809,Norte ,Rondônia ,Candeias do Jamari ,Total,Total Geral,5798
1100908,Norte ,Rondônia ,Castanheiras ,Total,Total Geral,647
1100056,Norte ,Rondônia ,Cerejeiras ,Total,Total Geral,3709
1100924,Norte ,Rondônia ,Chupinguaia ,Total,Total Geral,2451
1100064,Norte ,Rondônia ,Colorado do Oeste ,Total,Total Geral,3707
1100072,Norte ,Rondônia ,Corumbiara ,Total,Total Geral,1563
1100080,Norte ,Rondônia ,Costa Marques ,Total,Total Geral,3328
1100940,Norte ,Rondônia ,Cujubim ,Total,Total Geral,3899
1100098,Norte ,Rondônia ,Espigão D'Oeste ,Total,Total Geral,6603
1101005,Norte ,Rondônia ,Governador Jorge Teixeira ,Total,Total Geral,1697
1100106,Norte ,Rondônia ,Guajará-Mirim ,Total,Total Geral,11077
1101104,Norte ,Rondônia ,Itapuã do Oeste ,Total,Total Geral,2529
1100114,Norte ,Rondônia ,Jaru ,Total,Total Geral,11762
1100122,Norte ,Rondônia ,Ji-Paraná ,Total,Total Geral,28608
1100130,Norte ,Rondônia ,Machadinho D'Oeste ,Total,Total Geral,7754
1101203,Norte ,Rondônia ,Ministro Andreazza ,Total,Total Geral,1438
1101302,Norte ,Rondônia ,Mirante da Serra ,Total,Total Geral,2312
1101401,Norte ,Rondônia ,Monte Negro ,Total,Total Geral,2861
1100148,Norte ,Rondônia ,Nova Brasilândia D'Oeste ,Total,Total Geral,3509
1100338,Norte ,Rondônia ,Nova Mamoré ,Total,Total Geral,6976
1101435,Norte ,Rondônia ,Nova União ,Total,Total Geral,1246
1100502,Norte ,Rondônia ,Novo Horizonte do Oeste ,Total,Total Geral,1819
1100155,Norte ,Rondônia ,Ouro Preto do Oeste ,Total,Total Geral,7609
1101450,Norte ,Rondônia ,Parecis ,Total,Total Geral,793
1100189,Norte ,Rondônia ,Pimenta Bueno ,Total,Total Geral,8900
1101468,Norte ,Rondônia ,Pimenteiras do Oeste ,Total,Total Geral,575
1100205,Norte ,Rondônia ,Porto Velho ,Total,Total Geral,119554
1100254,Norte ,Rondônia ,Presidente Médici ,Total,Total Geral,3959
1101476,Norte ,Rondônia ,Primavera de Rondônia ,Total,Total Geral,745
1100262,Norte ,Rondônia ,Rio Crespo ,Total,Total Geral,794
1100288,Norte ,Rondônia ,Rolim de Moura ,Total,Total Geral,11947
1100296,Norte ,Rondônia ,Santa Luzia D'Oeste ,Total,Total Geral,1430
1101484,Norte ,Rondônia ,São Felipe D'Oeste ,Total,Total Geral,1012
1101492,Norte ,Rondônia ,São Francisco do Guaporé ,Total,Total Geral,3959
1100320,Norte ,Rondônia ,São Miguel do Guaporé ,Total,Total Geral,4911
1101500,Norte ,Rondônia ,Seringueiras ,Total,Total Geral,2516
1101559,Norte ,Rondônia ,Teixeirópolis ,Total,Total Geral,873
1101609,Norte ,Rondônia ,Theobroma ,Total,Total Geral,1617
1101708,Norte ,Rondônia ,Urupá ,Total,Total Geral,2289
1101757,Norte ,Rondônia ,Vale do Anari ,Total,Total Geral,1591
1101807,Norte ,Rondônia ,Vale do Paraíso ,Total,Total Geral,1326
1100304,Norte ,Rondônia ,Vilhena ,Total,Total Geral,23099
1200013,Norte ,Acre ,Acrelândia ,Total,Total Geral,3719
1200054,Norte ,Acre ,Assis Brasil ,Total,Total Geral,3517
1200104,Norte ,Acre ,Brasiléia ,Total,Total Geral,6873
1200138,Norte ,Acre ,Bujari ,Total,Total Geral,3886
1200179,Norte ,Acre ,Capixaba ,Total,Total Geral,3070
1200203,Norte ,Acre ,Cruzeiro do Sul ,Total,Total Geral,29666
1200252,Norte ,Acre ,Epitaciolândia ,Total,Total Geral,4795
1200302,Norte ,Acre ,Feijó ,Total,Total Geral,12708
1200328,Norte ,Acre ,Jordão ,Total,Total Geral,3848
1200336,Norte ,Acre ,Mâncio Lima ,Total,Total Geral,6528
1200344,Norte ,Acre ,Manoel Urbano ,Total,Total Geral,3760
1200351,Norte ,Acre ,Marechal Thaumaturgo ,Total,Total Geral,6024
1200385,Norte ,Acre ,Plácido de Castro ,Total,Total Geral,4773
1200807,Norte ,Acre ,Porto Acre ,Total,Total Geral,5466
1200393,Norte ,Acre ,Porto Walter ,Total,Total Geral,4544
1200401,Norte ,Acre ,Rio Branco ,Total,Total Geral,97172
1200427,Norte ,Acre ,Rodrigues Alves ,Total,Total Geral,7325
1200435,Norte ,Acre ,Santa Rosa do Purus ,Total,Total Geral,2704
1200500,Norte ,Acre ,Sena Madureira ,Total,Total Geral,11227
1200450,Norte ,Acre ,Senador Guiomard ,Total,Total Geral,6201
1200609,Norte ,Acre ,Tarauacá ,Total,Total Geral,16128
1200708,Norte ,Acre ,Xapuri ,Total,Total Geral,4406
1300029,Norte ,Amazonas ,Alvarães ,Total,Total Geral,6501
1300060,Norte ,Amazonas ,Amaturá ,Total,Total Geral,4195
1300086,Norte ,Amazonas ,Anamã ,Total,Total Geral,3275
1300102,Norte ,Amazonas ,Anori ,Total,Total Geral,4778
1300144,Norte ,Amazonas ,Apuí ,Total,Total Geral,3982
1300201,Norte ,Amazonas ,Atalaia do Norte ,Total,Total Geral,6692
1300300,Norte ,Amazonas ,Autazes ,Total,Total Geral,12794
1300409,Norte ,Amazonas ,Barcelos ,Total,Total Geral,5684
1300508,Norte ,Amazonas ,Barreirinha ,Total,Total Geral,12615
1300607,Norte ,Amazonas ,Benjamin Constant ,Total,Total Geral,15549
1300631,Norte ,Amazonas ,Beruri ,Total,Total Geral,7551
1300680,Norte ,Amazonas ,Boa Vista do Ramos ,Total,Total Geral,6376
1300706,Norte ,Amazonas ,Boca do Acre ,Total,Total Geral,9349
1300805,Norte ,Amazonas ,Borba ,Total,Total Geral,11540
1300839,Norte ,Amazonas ,Caapiranga ,Total,Total Geral,3838
1300904,Norte ,Amazonas ,Canutama ,Total,Total Geral,3920
1301001,Norte ,Amazonas ,Carauari ,Total,Total Geral,9144
1301100,Norte ,Amazonas ,Careiro ,Total,Total Geral,11005
1301159,Norte ,Amazonas ,Careiro da Várzea ,Total,Total Geral,5502
1301209,Norte ,Amazonas ,Coari ,Total,Total Geral,22107
1301308,Norte ,Amazonas ,Codajás ,Total,Total Geral,7115
1301407,Norte ,Amazonas ,Eirunepé ,Total,Total Geral,11576
1301506,Norte ,Amazonas ,Envira ,Total,Total Geral,5705
1301605,Norte ,Amazonas ,Fonte Boa ,Total,Total Geral,9156
1301654,Norte ,Amazonas ,Guajará ,Total,Total Geral,4325
1301704,Norte ,Amazonas ,Humaitá ,Total,Total Geral,14936
1301803,Norte ,Amazonas ,Ipixuna ,Total,Total Geral,5687
1301852,Norte ,Amazonas ,Iranduba ,Total,Total Geral,17763
1301902,Norte ,Amazonas ,Itacoatiara ,Total,Total Geral,29825
1301951,Norte ,Amazonas ,Itamarati ,Total,Total Geral,4481
1302009,Norte ,Amazonas ,Itapiranga ,Total,Total Geral,3653
1302108,Norte ,Amazonas ,Japurá ,Total,Total Geral,4009
1302207,Norte ,Amazonas ,Juruá ,Total,Total Geral,4293
1302306,Norte ,Amazonas ,Jutaí ,Total,Total Geral,10535
1302405,Norte ,Amazonas ,Lábrea ,Total,Total Geral,12962
1302504,Norte ,Amazonas ,Manacapuru ,Total,Total Geral,31410
1302553,Norte ,Amazonas ,Manaquiri ,Total,Total Geral,5776
1302603,Norte ,Amazonas ,Manaus ,Total,Total Geral,539204
1302702,Norte ,Amazonas ,Manicoré ,Total,Total Geral,17307
1302801,Norte ,Amazonas ,Maraã ,Total,Total Geral,6875
