cod_ibge,uf,populacao_2024,num_escolas,area_algodão_herbáceo_2024,area_cana_de_açúcar_2024,area_milho_2024,area_soja_2024,estabelecimentos_agro_total,area_agro_total_hectares,num_tratores
1100015,RO,22853.0,15213,,84.0,9664.0,11758.0,2886.0,372746.0,517.0
1100023,RO,108573.0,69294,,730.0,37593.0,109520.0,2928.0,334256.0,501.0
1100031,RO,5690.0,3567,,92.0,104069.0,224895.0,1075.0,113085.0,247.0
1100049,RO,97637.0,63213,,673.0,16302.0,43797.0,3814.0,221390.0,465.0
1100056,RO,16975.0,11127,,616.0,129356.0,265911.0,719.0,126686.0,303.0
1100064,RO,16588.0,11121,,59.0,8133.0,15653.0,1674.0,139796.0,248.0
1100072,RO,8001.0,4689,,209.0,161976.0,356007.0,1489.0,273086.0,306.0
1100080,RO,13522.0,9984,,105.0,19549.0,48038.0,1500.0,220177.0,269.0
1100098,RO,32717.0,19809,,,6720.0,12593.0,2000.0,247331.0,334.0
1100106,RO,43553.0,33231,,25.0,10998.0,63630.0,602.0,70487.0,91.0
1100114,RO,55583.0,35286,,140.0,1978.0,1206.0,3548.0,250653.0,262.0
1100122,RO,139359.0,85824,,450.0,2530.0,433.0,2544.0,215375.0,312.0
1100130,RO,34063.0,23262,,163.0,37288.0,104738.0,4272.0,300762.0,257.0
1100148,RO,16504.0,10527,,115.0,6048.0,13401.0,3010.0,156002.0,229.0
1100155,RO,38681.0,22827,,234.0,5601.0,13934.0,2159.0,152422.0,183.0
1100189,RO,39053.0,26700,,875.0,6928.0,13163.0,1241.0,274321.0,332.0
1100205,RO,514873.0,358662,,1052.0,110570.0,320390.0,5177.0,778218.0,772.0
1100254,RO,20518.0,11877,,140.0,148.0,,2105.0,124134.0,190.0
1100262,RO,3753.0,2382,,29.0,80883.0,258307.0,492.0,136003.0,163.0
1100288,RO,62559.0,35841,,266.0,24682.0,56382.0,2038.0,123887.0,314.0
1100296,RO,7877.0,4290,,370.0,16078.0,52536.0,1023.0,84667.0,230.0
1100304,RO,108528.0,69297,224605.0,21.0,128930.0,294895.0,1580.0,250110.0,561.0
1100320,RO,22267.0,14733,,93.0,66436.0,214034.0,2487.0,190475.0,333.0
1100338,RO,28496.0,20928,,,8585.0,75929.0,2117.0,251318.0,219.0
1100346,RO,13837.0,8466,,206.0,117.0,6757.0,1825.0,148755.0,224.0
1100379,RO,12263.0,7707,,112.0,14194.0,24797.0,1975.0,144821.0,242.0
1100403,RO,17463.0,9486,,,62855.0,207026.0,2619.0,195634.0,257.0
1100452,RO,30729.0,20490,,34.0,10548.0,8712.0,2830.0,237350.0,243.0
1100502,RO,8056.0,5457,,114.0,9084.0,19389.0,1347.0,69661.0,129.0
1100601,RO,4345.0,3150,,96.0,2707.0,3765.0,903.0,170893.0,148.0
1100700,RO,9225.0,6585,,150.0,2162.0,6273.0,1918.0,196865.0,120.0
1100809,RO,24163.0,17394,,1025.0,51270.0,206126.0,1240.0,182933.0,315.0
1100908,RO,3456.0,1941,,33.0,17411.0,48557.0,577.0,52056.0,108.0
1100924,RO,10129.0,7353,,55.0,146703.0,323715.0,1045.0,352500.0,362.0
1100940,RO,15883.0,11697,,77.0,65518.0,200616.0,1897.0,194385.0,297.0
1101005,RO,8420.0,5091,,39.0,835.0,,1693.0,132212.0,93.0
1101104,RO,9209.0,7587,,683.0,42390.0,150463.0,764.0,84682.0,168.0
1101203,RO,6657.0,4314,,,1038.0,,1201.0,60545.0,72.0
1101302,RO,9740.0,6936,,117.0,8413.0,8448.0,1242.0,56423.0,79.0
1101401,RO,12241.0,8583,,131.0,294.0,,1554.0,143393.0,159.0
1101435,RO,6577.0,3738,,70.0,1075.0,1408.0,1387.0,61657.0,56.0
1101450,RO,4390.0,2379,,88.0,16368.0,35038.0,642.0,131376.0,153.0
1101468,RO,2311.0,1725,,45.0,184267.0,383604.0,304.0,207432.0,257.0
1101476,RO,3279.0,2235,,35.0,1023.0,3967.0,401.0,64398.0,121.0
1101484,RO,5605.0,3036,,19.0,13631.0,19179.0,797.0,41452.0,98.0
1101492,RO,17511.0,11877,,,26486.0,64561.0,1950.0,255020.0,318.0
