"Tabela 6773 - Número de estabelecimentos agropecuários e Área dos estabelecimentos agropecuários, por tipologia, condição legal do produtor, residência da pessoa que dirige o estabelecimento, finalidade principal da produção agropecuária do estabelecimento, renda obtida com as atividades desenvolvidas no estabelecimento e associação do produtor à cooperativa e/ou à entidade de classe - Ranking ascendente"
"Variável - Número de estabelecimentos agropecuários (Unidades)"
"Cód.";"Brasil e Município";"Finalidade principal da produção agropecuária do estabelecimento";"Renda obtida com as atividades desenvolvidas no estabelecimento";"#";"Associação do produtor à cooperativa e/ou à entidade de classe";"Ano x Tipologia x Condição legal do produtor x Residência da pessoa que dirige o estabelecimento"
"Cód.";"Brasil e Município";"Finalidade principal da produção agropecuária do estabelecimento";"Renda obtida com as atividades desenvolvidas no estabelecimento";"#";"Associação do produtor à cooperativa e/ou à entidade de classe";"2017"
"Cód.";"Brasil e Município";"Finalidade principal da produção agropecuária do estabelecimento";"Renda obtida com as atividades desenvolvidas no estabelecimento";"#";"Associação do produtor à cooperativa e/ou à entidade de classe";"Total"
"Cód.";"Brasil e Município";"Finalidade principal da produção agropecuária do estabelecimento";"Renda obtida com as atividades desenvolvidas no estabelecimento";"#";"Associação do produtor à cooperativa e/ou à entidade de classe";"Total"
"Cód.";"Brasil e Município";"Finalidade principal da produção agropecuária do estabelecimento";"Renda obtida com as atividades desenvolvidas no estabelecimento";"#";"Associação do produtor à cooperativa e/ou à entidade de classe";"Total"
"1";"Brasil";"Total";"Total";"1";"Total";"5073324"
"1100015";"Alta Floresta D'Oeste (RO)";"Total";"Total";"1";"Total";"2886"
"1100023";"Ariquemes (RO)";"Total";"Total";"1";"Total";"2928"
"1100031";"Cabixi (RO)";"Total";"Total";"1";"Total";"1075"
"1100049";"Cacoal (RO)";"Total";"Total";"1";"Total";"3814"
"1100056";"Cerejeiras (RO)";"Total";"Total";"1";"Total";"719"
"1100064";"Colorado do Oeste (RO)";"Total";"Total";"1";"Total";"1674"
"1100072";"Corumbiara (RO)";"Total";"Total";"1";"Total";"1489"
"1100080";"Costa Marques (RO)";"Total";"Total";"1";"Total";"1500"
"1100098";"Espigão D'Oeste (RO)";"Total";"Total";"1";"Total";"2000"
"1100106";"Guajará-Mirim (RO)";"Total";"Total";"1";"Total";"602"
"1100114";"Jaru (RO)";"Total";"Total";"1";"Total";"3548"
"1100122";"Ji-Paraná (RO)";"Total";"Total";"1";"Total";"2544"
"1100130";"Machadinho D'Oeste (RO)";"Total";"Total";"1";"Total";"4272"
"1100148";"Nova Brasilândia D'Oeste (RO)";"Total";"Total";"1";"Total";"3010"
"1100155";"Ouro Preto do Oeste (RO)";"Total";"Total";"1";"Total";"2159"
"1100189";"Pimenta Bueno (RO)";"Total";"Total";"1";"Total";"1241"
"1100205";"Porto Velho (RO)";"Total";"Total";"1";"Total";"5177"
"1100254";"Presidente Médici (RO)";"Total";"Total";"1";"Total";"2105"
"1100262";"Rio Crespo (RO)";"Total";"Total";"1";"Total";"492"
"1100288";"Rolim de Moura (RO)";"Total";"Total";"1";"Total";"2038"
"1100296";"Santa Luzia D'Oeste (RO)";"Total";"Total";"1";"Total";"1023"
"1100304";"Vilhena (RO)";"Total";"Total";"1";"Total";"1580"
"1100320";"São Miguel do Guaporé (RO)";"Total";"Total";"1";"Total";"2487"
"1100338";"Nova Mamoré (RO)";"Total";"Total";"1";"Total";"2117"
"1100346";"Alvorada D'Oeste (RO)";"Total";"Total";"1";"Total";"1825"
"1100379";"Alto Alegre dos Parecis (RO)";"Total";"Total";"1";"Total";"1975"
"1100403";"Alto Paraíso (RO)";"Total";"Total";"1";"Total";"2619"
"1100452";"Buritis (RO)";"Total";"Total";"1";"Total";"2830"
"1100502";"Novo Horizonte do Oeste (RO)";"Total";"Total";"1";"Total";"1347"
"1100601";"Cacaulândia (RO)";"Total";"Total";"1";"Total";"903"
"1100700";"Campo Novo de Rondônia (RO)";"Total";"Total";"1";"Total";"1918"
"1100809";"Candeias do Jamari (RO)";"Total";"Total";"1";"Total";"1240"
"1100908";"Castanheiras (RO)";"Total";"Total";"1";"Total";"577"
"1100924";"Chupinguaia (RO)";"Total";"Total";"1";"Total";"1045"
"1100940";"Cujubim (RO)";"Total";"Total";"1";"Total";"1897"
"1101005";"Governador Jorge Teixeira (RO)";"Total";"Total";"1";"Total";"1693"
"1101104";"Itapuã do Oeste (RO)";"Total";"Total";"1";"Total";"764"
"1101203";"Ministro Andreazza (RO)";"Total";"Total";"1";"Total";"1201"
"1101302";"Mirante da Serra (RO)";"Total";"Total";"1";"Total";"1242"
"1101401";"Monte Negro (RO)";"Total";"Total";"1";"Total";"1554"
"1101435";"Nova União (RO)";"Total";"Total";"1";"Total";"1387"
"1101450";"Parecis (RO)";"Total";"Total";"1";"Total";"642"
"1101468";"Pimenteiras do Oeste (RO)";"Total";"Total";"1";"Total";"304"
