municipality_code,geographic_level,state_abbreviation,municipality_name,land_use_purpose,income_bracket,association_status,number_of_agricultural_establishments,total_area_in_hectares
1,1,,Brasil,Total,Total,Total,5073324,351289816.0
1100015,7,RO,Alta Floresta D'Oeste,Total,Total,Total,2886,372746.0
1100023,7,RO,Ariquemes,Total,Total,Total,2928,334256.0
1100031,7,RO,Cabixi,Total,Total,Total,1075,113085.0
1100049,7,RO,Cacoal,Total,Total,Total,3814,221390.0
1100056,7,RO,Cerejeiras,Total,Total,Total,719,126686.0
1100064,7,RO,Colorado do Oeste,Total,Total,Total,1674,139796.0
1100072,7,RO,Corumbiara,Total,Total,Total,1489,273086.0
1100080,7,RO,Costa Marques,Total,Total,Total,1500,220177.0
1100098,7,RO,Espigão D'Oeste,Total,Total,Total,2000,247331.0
1100106,7,RO,Guajará-Mirim,Total,Total,Total,602,70487.0
1100114,7,RO,Jaru,Total,Total,Total,3548,250653.0
1100122,7,RO,Ji-Paraná,Total,Total,Total,2544,215375.0
1100130,7,RO,Machadinho D'Oeste,Total,Total,Total,4272,300762.0
1100148,7,RO,Nova Brasilândia D'Oeste,Total,Total,Total,3010,156002.0
1100155,7,RO,Ouro Preto do Oeste,Total,Total,Total,2159,152422.0
1100189,7,RO,Pimenta Bueno,Total,Total,Total,1241,274321.0
1100205,7,RO,Porto Velho,Total,Total,Total,5177,778218.0
1100254,7,RO,Presidente Médici,Total,Total,Total,2105,124134.0
1100262,7,RO,Rio Crespo,Total,Total,Total,492,136003.0
1100288,7,RO,Rolim de Moura,Total,Total,Total,2038,123887.0
1100296,7,RO,Santa Luzia D'Oeste,Total,Total,Total,1023,84667.0
1100304,7,RO,Vilhena,Total,Total,Total,1580,250110.0
1100320,7,RO,São Miguel do Guaporé,Total,Total,Total,2487,190475.0
1100338,7,RO,Nova Mamoré,Total,Total,Total,2117,251318.0
1100346,7,RO,Alvorada D'Oeste,Total,Total,Total,1825,148755.0
1100379,7,RO,Alto Alegre dos Parecis,Total,Total,Total,1975,144821.0
1100403,7,RO,Alto Paraíso,Total,Total,Total,2619,195634.0
1100452,7,RO,Buritis,Total,Total,Total,2830,237350.0
1100502,7,RO,Novo Horizonte do Oeste,Total,Total,Total,1347,69661.0
1100601,7,RO,Cacaulândia,Total,Total,Total,903,170893.0
1100700,7,RO,Campo Novo de Rondônia,Total,Total,Total,1918,196865.0
1100809,7,RO,Candeias do Jamari,Total,Total,Total,1240,182933.0
1100908,7,RO,Castanheiras,Total,Total,Total,577,52056.0
1100924,7,RO,Chupinguaia,Total,Total,Total,1045,352500.0
1100940,7,RO,Cujubim,Total,Total,Total,1897,194385.0
1101005,7,RO,Governador Jorge Teixeira,Total,Total,Total,1693,132212.0
1101104,7,RO,Itapuã do Oeste,Total,Total,Total,764,84682.0
1101203,7,RO,Ministro Andreazza,Total,Total,Total,1201,60545.0
1101302,7,RO,Mirante da Serra,Total,Total,Total,1242,56423.0
1101401,7,RO,Monte Negro,Total,Total,Total,1554,143393.0
1101435,7,RO,Nova União,Total,Total,Total,1387,61657.0
1101450,7,RO,Parecis,Total,Total,Total,642,131376.0
1101468,7,RO,Pimenteiras do Oeste,Total,Total,Total,304,207432.0
1101476,7,RO,Primavera de Rondônia,Total,Total,Total,401,64398.0
1101484,7,RO,São Felipe D'Oeste,Total,Total,Total,797,41452.0
1101492,7,RO,São Francisco do Guaporé,Total,Total,Total,1950,255020.0
1101500,7,RO,Seringueiras,Total,Total,Total,1677,117576.0
1101559,7,RO,Teixeirópolis,Total,Total,Total,738,40242.0
1101609,7,RO,Theobroma,Total,Total,Total,2160,219207.0
1101708,7,RO,Urupá,Total,Total,Total,1623,56977.0
1101757,7,RO,Vale do Anari,Total,Total,Total,1707,120711.0
1101807,7,RO,Vale do Paraíso,Total,Total,Total,942,73342.0
1200013,7,AC,Acrelândia,Total,Total,Total,1462,152246.0
1200054,7,AC,Assis Brasil,Total,Total,Total,523,69947.0
1200104,7,AC,Brasiléia,Total,Total,Total,2100,337267.0
1200138,7,AC,Bujari,Total,Total,Total,1404,264480.0
1200179,7,AC,Capixaba,Total,Total,Total,1289,156800.0
1200203,7,AC,Cruzeiro do Sul,Total,Total,Total,3264,132413.0
1200252,7,AC,Epitaciolândia,Total,Total,Total,1454,172858.0
1200302,7,AC,Feijó,Total,Total,Total,2968,346175.0
1200328,7,AC,Jordão,Total,Total,Total,484,20682.0
1200336,7,AC,Mâncio Lima,Total,Total,Total,1088,34151.0
1200344,7,AC,Manoel Urbano,Total,Total,Total,645,86082.0
1200351,7,AC,Marechal Thaumaturgo,Total,Total,Total,1677,36255.0
1200385,7,AC,Plácido de Castro,Total,Total,Total,1346,165281.0
