"Tabela 6873 - Número de estabelecimentos agropecuários e Número de tratores, implementos e máquinas existentes nos estabelecimentos agropecuários, por tipologia, tratores, implementos e máquinas existentes no estabelecimento agropecuário, condição do produtor em relação às terras e grupos de atividade econômica - Ranking ascendente"
"Variável - Número de estabelecimentos agropecuários (Unidades)"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"Ano x Tipologia x Tratores, implementos e máquinas existentes no estabelecimento agropecuário"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"2017"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"Total"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"Tratores"
"1";"Brasil";"Total";"1";"Total";"734280"
"1";"Norte";"Total";"1";"Total";"35092"
"2";"Nordeste";"Total";"1";"Total";"53284"
"3";"Sudeste";"Total";"1";"Total";"208791"
"4";"Sul";"Total";"1";"Total";"347476"
"5";"Centro-Oeste";"Total";"1";"Total";"89637"
"1100015";"Alta Floresta D'Oeste (RO)";"Total";"1";"Total";"394"
"1100023";"Ariquemes (RO)";"Total";"1";"Total";"372"
"1100031";"Cabixi (RO)";"Total";"1";"Total";"141"
"1100049";"Cacoal (RO)";"Total";"1";"Total";"413"
"1100056";"Cerejeiras (RO)";"Total";"1";"Total";"152"
"1100064";"Colorado do Oeste (RO)";"Total";"1";"Total";"189"
"1100072";"Corumbiara (RO)";"Total";"1";"Total";"131"
"1100080";"Costa Marques (RO)";"Total";"1";"Total";"207"
"1100098";"Espigão D'Oeste (RO)";"Total";"1";"Total";"244"
"1100106";"Guajará-Mirim (RO)";"Total";"1";"Total";"68"
"1100114";"Jaru (RO)";"Total";"1";"Total";"231"
"1100122";"Ji-Paraná (RO)";"Total";"1";"Total";"242"
"1100130";"Machadinho D'Oeste (RO)";"Total";"1";"Total";"208"
"1100148";"Nova Brasilândia D'Oeste (RO)";"Total";"1";"Total";"184"
"1100155";"Ouro Preto do Oeste (RO)";"Total";"1";"Total";"156"
"1100189";"Pimenta Bueno (RO)";"Total";"1";"Total";"229"
"1100205";"Porto Velho (RO)";"Total";"1";"Total";"593"
"1100254";"Presidente Médici (RO)";"Total";"1";"Total";"163"
"1100262";"Rio Crespo (RO)";"Total";"1";"Total";"107"
"1100288";"Rolim de Moura (RO)";"Total";"1";"Total";"248"
"1100296";"Santa Luzia D'Oeste (RO)";"Total";"1";"Total";"146"
"1100304";"Vilhena (RO)";"Total";"1";"Total";"313"
"1100320";"São Miguel do Guaporé (RO)";"Total";"1";"Total";"232"
"1100338";"Nova Mamoré (RO)";"Total";"1";"Total";"177"
"1100346";"Alvorada D'Oeste (RO)";"Total";"1";"Total";"163"
"1100379";"Alto Alegre dos Parecis (RO)";"Total";"1";"Total";"177"
"1100403";"Alto Paraíso (RO)";"Total";"1";"Total";"178"
"1100452";"Buritis (RO)";"Total";"1";"Total";"202"
"1100502";"Novo Horizonte do Oeste (RO)";"Total";"1";"Total";"97"
"1100601";"Cacaulândia (RO)";"Total";"1";"Total";"125"
"1100700";"Campo Novo de Rondônia (RO)";"Total";"1";"Total";"98"
"1100809";"Candeias do Jamari (RO)";"Total";"1";"Total";"213"
"1100908";"Castanheiras (RO)";"Total";"1";"Total";"81"
"1100924";"Chupinguaia (RO)";"Total";"1";"Total";"198"
"1100940";"Cujubim (RO)";"Total";"1";"Total";"205"
"1101005";"Governador Jorge Teixeira (RO)";"Total";"1";"Total";"79"
"1101104";"Itapuã do Oeste (RO)";"Total";"1";"Total";"129"
"1101203";"Ministro Andreazza (RO)";"Total";"1";"Total";"68"
"1101302";"Mirante da Serra (RO)";"Total";"1";"Total";"73"
"1101401";"Monte Negro (RO)";"Total";"1";"Total";"140"
"1101435";"Nova União (RO)";"Total";"1";"Total";"52"
"1101450";"Parecis (RO)";"Total";"1";"Total";"98"
"1101468";"Pimenteiras do Oeste (RO)";"Total";"1";"Total";"112"
"1101476";"Primavera de Rondônia (RO)";"Total";"1";"Total";"75"
"1101484";"São Felipe D'Oeste (RO)";"Total";"1";"Total";"67"
"1101492";"São Francisco do Guaporé (RO)";"Total";"1";"Total";"247"
"1101500";"Seringueiras (RO)";"Total";"1";"Total";"124"
"1101559";"Teixeirópolis (RO)";"Total";"1";"Total";"40"
"1101609";"Theobroma (RO)";"Total";"1";"Total";"111"
"1101708";"Urupá (RO)";"Total";"1";"Total";"37"
"1101757";"Vale do Anari (RO)";"Total";"1";"Total";"104"
"1101807";"Vale do Paraíso (RO)";"Total";"1";"Total";"74"
"1200013";"Acrelândia (AC)";"Total";"1";"Total";"158"
"1200054";"Assis Brasil (AC)";"Total";"1";"Total";"3"
"1200104";"Brasiléia (AC)";"Total";"1";"Total";"112"
"1200138";"Bujari (AC)";"Total";"1";"Total";"92"
"1200179";"Capixaba (AC)";"Total";"1";"Total";"51"
"1200203";"Cruzeiro do Sul (AC)";"Total";"1";"Total";"33"
"1200252";"Epitaciolândia (AC)";"Total";"1";"Total";"50"
"1200302";"Feijó (AC)";"Total";"1";"Total";"7"
"1200328";"Jordão (AC)";"Total";"1";"Total";"1"
"1200336";"Mâncio Lima (AC)";"Total";"1";"Total";"9"
"1200344";"Manoel Urbano (AC)";"Total";"1";"Total";"11"
"1200351";"Marechal Thaumaturgo (AC)";"Total";"1";"Total";"1"
"1200385";"Plácido de Castro (AC)";"Total";"1";"Total";"169"
"1200393";"Porto Walter (AC)";"Total";"1";"Total";"2"
"1200401";"Rio Branco (AC)";"Total";"1";"Total";"198"
"1200427";"Rodrigues Alves (AC)";"Total";"1";"Total";"13"
"1200435";"Santa Rosa do Purus (AC)";"Total";"1";"Total";"-"
"1200450";"Senador Guiomard (AC)";"Total";"1";"Total";"179"
"1200500";"Sena Madureira (AC)";"Total";"1";"Total";"98"
"1200609";"Tarauacá (AC)";"Total";"1";"Total";"19"
"1200708";"Xapuri (AC)";"Total";"1";"Total";"100"
"1200807";"Porto Acre (AC)";"Total";"1";"Total";"138"
"1300029";"Alvarães (AM)";"Total";"1";"Total";"-"
"1300060";"Amaturá (AM)";"Total";"1";"Total";"-"
"1300086";"Anamã (AM)";"Total";"1";"Total";"2"
"1300102";"Anori (AM)";"Total";"1";"Total";"7"
"1300144";"Apuí (AM)";"Total";"1";"Total";"124"
"1300201";"Atalaia do Norte (AM)";"Total";"1";"Total";"-"
"1300300";"Autazes (AM)";"Total";"1";"Total";"40"
"1300409";"Barcelos (AM)";"Total";"1";"Total";"4"
"1300508";"Barreirinha (AM)";"Total";"1";"Total";"5"
"1300607";"Benjamin Constant (AM)";"Total";"1";"Total";"1"
"1300631";"Beruri (AM)";"Total";"1";"Total";"1"
"1300680";"Boa Vista do Ramos (AM)";"Total";"1";"Total";"1"
"1300706";"Boca do Acre (AM)";"Total";"1";"Total";"90"
"1300805";"Borba (AM)";"Total";"1";"Total";"7"
"1300839";"Caapiranga (AM)";"Total";"1";"Total";"-"
"1300904";"Canutama (AM)";"Total";"1";"Total";"109"
"1301001";"Carauari (AM)";"Total";"1";"Total";"3"
"1301100";"Careiro (AM)";"Total";"1";"Total";"32"
"1301159";"Careiro da Várzea (AM)";"Total";"1";"Total";"50"
"1301209";"Coari (AM)";"Total";"1";"Total";"3"
"1301308";"Codajás (AM)";"Total";"1";"Total";"-"
"1301407";"Eirunepé (AM)";"Total";"1";"Total";"4"
"1301506";"Envira (AM)";"Total";"1";"Total";"4"
"1301605";"Fonte Boa (AM)";"Total";"1";"Total";"1"
"1301654";"Guajará (AM)";"Total";"1";"Total";"11"
"1301704";"Humaitá (AM)";"Total";"1";"Total";"45"
"1301803";"Ipixuna (AM)";"Total";"1";"Total";"-"
"1301852";"Iranduba (AM)";"Total";"1";"Total";"247"
"1301902";"Itacoatiara (AM)";"Total";"1";"Total";"101"
"1301951";"Itamarati (AM)";"Total";"1";"Total";"-"
"1302009";"Itapiranga (AM)";"Total";"1";"Total";"2"
"1302108";"Japurá (AM)";"Total";"1";"Total";"-"
"1302207";"Juruá (AM)";"Total";"1";"Total";"1"
"1302306";"Jutaí (AM)";"Total";"1";"Total";"2"
"1302405";"Lábrea (AM)";"Total";"1";"Total";"130"
"1302504";"Manacapuru (AM)";"Total";"1";"Total";"47"
"1302553";"Manaquiri (AM)";"Total";"1";"Total";"3"
"1302603";"Manaus (AM)";"Total";"1";"Total";"141"
"1302702";"Manicoré (AM)";"Total";"1";"Total";"139"
