codigo_municipio,sigla_estado,nome_municipio,numero_de_estabelecimentos_agricolas,numero_de_tratores_em_uso
1,,Brasil,734280.0,1229907.0
1,,Norte,35092.0,58436.0
2,,Nordeste,53284.0,83866.0
3,,Sudeste,208791.0,373952.0
4,,Sul,347476.0,517042.0
5,,Centro-Oeste,89637.0,196611.0
1100015,RO,Alta Floresta D'Oeste,394.0,517.0
1100023,RO,Ariquemes,372.0,501.0
1100031,RO,Cabixi,141.0,247.0
1100049,RO,Cacoal,413.0,465.0
1100056,RO,Cerejeiras,152.0,303.0
1100064,RO,Colorado do Oeste,189.0,248.0
1100072,RO,Corumbiara,131.0,306.0
1100080,RO,Costa Marques,207.0,269.0
1100098,RO,Espigão D'Oeste,244.0,334.0
1100106,RO,Guajará-Mirim,68.0,91.0
1100114,RO,Jaru,231.0,262.0
1100122,RO,Ji-Paraná,242.0,312.0
1100130,RO,Machadinho D'Oeste,208.0,257.0
1100148,RO,Nova Brasilândia D'Oeste,184.0,229.0
1100155,RO,Ouro Preto do Oeste,156.0,183.0
1100189,RO,Pimenta Bueno,229.0,332.0
1100205,RO,Porto Velho,593.0,772.0
1100254,RO,Presidente Médici,163.0,190.0
1100262,RO,Rio Crespo,107.0,163.0
1100288,RO,Rolim de Moura,248.0,314.0
1100296,RO,Santa Luzia D'Oeste,146.0,230.0
1100304,RO,Vilhena,313.0,561.0
1100320,RO,São Miguel do Guaporé,232.0,333.0
1100338,RO,Nova Mamoré,177.0,219.0
1100346,RO,Alvorada D'Oeste,163.0,224.0
1100379,RO,Alto Alegre dos Parecis,177.0,242.0
1100403,RO,Alto Paraíso,178.0,257.0
1100452,RO,Buritis,202.0,243.0
1100502,RO,Novo Horizonte do Oeste,97.0,129.0
1100601,RO,Cacaulândia,125.0,148.0
1100700,RO,Campo Novo de Rondônia,98.0,120.0
1100809,RO,Candeias do Jamari,213.0,315.0
1100908,RO,Castanheiras,81.0,108.0
1100924,RO,Chupinguaia,198.0,362.0
1100940,RO,Cujubim,205.0,297.0
1101005,RO,Governador Jorge Teixeira,79.0,93.0
1101104,RO,Itapuã do Oeste,129.0,168.0
1101203,RO,Ministro Andreazza,68.0,72.0
1101302,RO,Mirante da Serra,73.0,79.0
1101401,RO,Monte Negro,140.0,159.0
1101435,RO,Nova União,52.0,56.0
1101450,RO,Parecis,98.0,153.0
1101468,RO,Pimenteiras do Oeste,112.0,257.0
1101476,RO,Primavera de Rondônia,75.0,121.0
1101484,RO,São Felipe D'Oeste,67.0,98.0
